species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_IRON_TREADS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_IRON_VALIANT,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_JANGMO_O,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_JIRACHI,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_KARRABLAST,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_KARTANA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_KECLEON,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_KELDEO,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_KLAWF,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_KLEFKI,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_KLINK,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_KOMALA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_KORAIDON,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_KRICKETOT,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_KUBFU,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_KYOGRE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_KYUREM,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_LANDORUS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_LARVESTA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_LATIAS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_LATIOS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_LECHONK,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_LILEEP,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_LILLIPUP,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_LITTEN,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_LITWICK,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_LUGIA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_LUNATONE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_LUVDISC,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_MAGBY,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_MAGEARNA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_MANAPHY,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_MANTYKE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_MARACTUS,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_MAREANIE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_MARSHADOW,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_MASCHIFF,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_MAWILE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_MEDITITE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_MELOETTA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_MELTAN,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_MESPRIT,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_MEW,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_MIENFOO,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_MILCERY,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_MILTANK,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_MIME_JR,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_MIMIKYU,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_MINIOR_RED,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_MINUN,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_MIRAIDON,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_MORELULL,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_MORPEKO,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_MR_RIME,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_MUDBRAY,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_MUDKIP,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_MUNKIDORI,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_MUNNA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_NACLI,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_NECROZMA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_NIHILEGO,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_NINCADA,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_NOIBAT,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_NOSEPASS,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_NUMEL,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_NYMBLE,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_OBSTAGOON,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_OGERPON,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_OKIDOGI,,wild reserve,ONE_ISLAND_KINDLE_ROAD,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_ORANGURU,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_ORICORIO,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_ORTHWORM,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_OSHAWOTT,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_OVERQWIL,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_PACHIRISU,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_PALKIA,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_PANCHAM,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_PANPOUR,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_PANSAGE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_PANSEAR,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_PASSIMIAN,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_PATRAT,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_PAWNIARD,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_PECHARUNT,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_PERRSERKER,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_PETILIL,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_PHANTUMP,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_PHEROMOSA,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_PHIONE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_PICHU,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_PIDOVE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_PIKIPEK,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_PINCURCHIN,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_PINSIR,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_PIPLUP,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_PLUSLE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_POIPOLE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_POLTCHAGEIST,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_POPPLIO,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_PUMPKABOO,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_PURRLOIN,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_PYUKUMUKU,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_QUAXLY,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_RAGING_BOLT,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_RAIKOU,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_RALTS,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_RAYQUAZA,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_REGICE,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_REGIDRAGO,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_REGIELEKI,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_REGIGIGAS,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_REGIROCK,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_REGISTEEL,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_RELICANTH,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_RELLOR,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_REMORAID,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_RESHIRAM,,wild reserve,SIX_ISLAND_RUIN_VALLEY,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_ROARING_MOON,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_ROCKRUFF,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_ROGGENROLA,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_ROLYCOLY,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_ROTOM,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_ROWLET,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_RUFFLET,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_RUNERIGUS,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_SABLEYE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_SALANDIT,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_SANDILE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_SANDYGAST,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_SANDY_SHOCKS,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_SAWK,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_SCATTERBUG,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_SCORBUNNY,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_SCRAGGY,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_SCREAM_TAIL,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_SEEDOT,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_SEVIPER,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_SHAYMIN,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_SHELLOS,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_SHELMET,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_SHIELDON,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_SHINX,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_SHROODLE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_SHUPPET,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_SIGILYPH,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_SILICOBRA,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_SINISTEA,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_SIRFETCHD,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_SIZZLIPEDE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_SKIDDO,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_SKITTY,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_SKORUPI,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_SKRELP,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_SKWOVET,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_SLAKOTH,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_SLITHER_WING,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_SLOWPOKE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_SMOLIV,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_SMOOCHUM,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_SNEASEL,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_SNEASLER,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_SNIVY,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_SNORUNT,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_SNOVER,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_SOBBLE,,wild reserve,SEVEN_ISLAND_SEVAULT_CANYON,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_SOLOSIS,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_SOLROCK,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_SPECTRIER,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_SPHEAL,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_SPINDA,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_SPIRITOMB,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_SPOINK,,wild reserve,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
